true_group,Known Attack Class,Normal,Unknown/Zero-Day Suspect
Normal,0.026979713726701677,0.9432602203686541,0.02976006590464422
Known Attack,0.7729824947704503,0.2077507431465375,0.019266762083012222
True Zero-Day Attack,0.3394666666666667,0.3456,0.31493333333333334
