model,roc_auc,average_precision,threshold_95th_pct_normal,overall_attack_detection_rate_at_95th_pct,true_zero_day_detection_rate_at_95th_pct,n_true_zero_day_samples
Isolation Forest,0.942029423181179,0.9543034767254645,0.4885897845448307,0.673186316527702,0.6314666666666666,3750
Local Outlier Factor,0.8812250241758504,0.8568322391201799,1.714916680099318,0.2247331099509078,0.17413333333333333,3750
PCA Reconstruction Error,0.9347607879724346,0.9291817123495721,0.01947769635580746,0.5462479544923244,0.3896,3750
